Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Email Address,Additional Phone Numbers,Website Verified,Social Profiles,Email Validation Status,Date Enriched,Source URLs,Date Collected
Willoughby & Co,Restaurant / Seafood,"Breakwater Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 419 7540,Not Available,https://www.willoughbyandco.co.za,https://www.instagram.com/willoughbyco_cpt/,Not Available,info@willoughbyandco.co.za,Not Available,Pending,https://www.instagram.com/willoughbyco_cpt/,valid_mx,2025-07-08,https://www.willoughbyandco.co.za/contact,2025-07-08
Baia Restaurant,Restaurant / Seafood,"Breakwater Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 421 1938,Not Available,https://www.baiarestaurant.co.za,https://www.instagram.com/baiarestaurant/,Not Available,info@baiarestaurant.co.za,Not Available,Pending,https://www.instagram.com/baiarestaurant/,valid_mx,2025-07-08,https://www.baiarestaurant.co.za/contact,2025-07-08
Sevruga Restaurant,Restaurant / Seafood,"Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 421 3265,Not Available,https://www.sevruga.co.za,https://www.instagram.com/sevruga_waterfront/,Not Available,info@sevruga.co.za,Not Available,Pending,https://www.instagram.com/sevruga_waterfront/,valid_mx,2025-07-08,https://www.sevruga.co.za/contact,2025-07-08
Gold Restaurant,Restaurant / African Cuisine,"13 Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 421 4600,Not Available,https://www.goldrestaurant.co.za,https://www.instagram.com/goldrestaurant/,Not Available,info@goldrestaurant.co.za,Not Available,Pending,https://www.instagram.com/goldrestaurant/,valid_mx,2025-07-08,https://www.goldrestaurant.co.za/contact,2025-07-08
Nobu Cape Town,Restaurant / Japanese,"The Silo Hotel, V&A Waterfront",VA-Waterfront,+27 21 671 6100,Not Available,https://www.noburestaurants.com/cape-town,https://www.instagram.com/nobucapetown/,Not Available,Not Available,Not Available,Pending,https://www.instagram.com/nobucapetown/,N/A,2025-07-08,https://www.noburestaurants.com,2025-07-08
The Table Bay Hotel,Hotel / Luxury,"Quay 6, V&A Waterfront",VA-Waterfront,+27 21 406 5000,Not Available,https://www.suninternational.com/the-table-bay-hotel,https://www.instagram.com/thetablebayhotel/,Not Available,tablebay@suninternational.com,Not Available,Pending,https://www.instagram.com/thetablebayhotel/,valid_mx,2025-07-08,https://www.suninternational.com,2025-07-08
The Silo Hotel,Hotel / Luxury,"B8 Silo Square, V&A Waterfront",VA-Waterfront,+27 21 671 6100,Not Available,https://www.theroyalportfolio.com/the-silo-hotel,https://www.instagram.com/thesilohotel/,Not Available,reservations@theroyalportfolio.com,Not Available,Pending,https://www.instagram.com/thesilohotel/,valid_mx,2025-07-08,https://www.theroyalportfolio.com,2025-07-08
Cape Grace Hotel,Hotel / Luxury,Waterfront Breakwater Rd,VA-Waterfront,+27 21 410 7100,Not Available,https://www.capegrace.com,https://www.instagram.com/capegracehotel/,Not Available,info@capegrace.com,Not Available,Pending,https://www.instagram.com/capegracehotel/,valid_mx,2025-07-08,https://www.capegrace.com/contact,2025-07-08
Portswood Hotel,Hotel / Boutique,"Portswood Rd, V&A Waterfront",VA-Waterfront,+27 21 419 9000,Not Available,https://www.tsogosunhotels.com/portswood-hotel,Not Available,Not Available,Not Available,Not Available,Pending,Not Available,N/A,2025-07-08,https://www.tsogosunhotels.com,2025-07-08
The Commodore Hotel,Hotel / Boutique,"Portswood Rd, V&A Waterfront",VA-Waterfront,+27 21 419 9000,Not Available,https://www.tsogosunhotels.com/commodore-hotel,Not Available,Not Available,Not Available,Not Available,Pending,Not Available,N/A,2025-07-08,https://www.tsogosunhotels.com,2025-07-08
UCT Graduate School of Business,School / Education,"Breakwater Campus, Portswood Rd, V&A Waterfront",VA-Waterfront,+27 21 406 1965,Not Available,https://www.gsb.uct.ac.za,https://www.linkedin.com/school/uct-graduate-school-of-business/,Not Available,Not Available,Not Available,Pending,https://www.linkedin.com/school/uct-graduate-school-of-business/,N/A,2025-07-08,https://www.gsb.uct.ac.za/contact,2025-07-08
Two Oceans Aquarium,Tourism / Attraction,"Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 418 3823,Not Available,https://www.aquarium.co.za,https://www.instagram.com/twooceansaquarium/,Not Available,info@aquarium.co.za,Not Available,Pending,https://www.instagram.com/twooceansaquarium/,valid_mx,2025-07-08,https://www.aquarium.co.za,2025-07-08
V&A Waterfront Spa,Spa / Wellness,V&A Waterfront Centre,VA-Waterfront,+27 21 418 3888,Not Available,https://www.waterfrontspa.co.za,https://www.instagram.com/waterfrontspa/,Not Available,info@waterfrontspa.co.za,Not Available,Pending,https://www.instagram.com/waterfrontspa/,invalid_no_mx,2025-07-08,https://www.waterfrontspa.co.za,2025-07-08
Mythic Real Estate,Real Estate Agency,V&A Waterfront,VA-Waterfront,+27 21 418 1000,Not Available,https://www.mythicre.co.za,https://www.instagram.com/mythicrealestate/,Not Available,info@mythicre.co.za,Not Available,Pending,https://www.instagram.com/mythicrealestate/,invalid_no_mx,2025-07-08,https://www.mythicre.co.za,2025-07-08
V&A Waterfront Information Centre,Tourism / Information,V&A Waterfront Centre,VA-Waterfront,+27 21 408 7600,Not Available,https://www.waterfront.co.za,https://www.instagram.com/vawaterfront/,Not Available,info@waterfront.co.za,Not Available,Pending,https://www.instagram.com/vawaterfront/,valid_mx,2025-07-08,https://www.waterfront.co.za,2025-07-08
Waterfront Dentistry,Dental Practice,"Breakwater Precinct, V&A Waterfront",VA-Waterfront,+27 21 418 1162,Not Available,https://www.waterfrontdentistry.co.za,Not Available,Not Available,info@waterfrontdentistry.co.za,Not Available,Pending,Not Available,invalid_no_mx,2025-07-08,https://www.waterfrontdentistry.co.za,2025-07-08
