business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Uganda Breweries Limited,Manufacturing / Brewery,"1 Port Bell Road, Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 257100,Yes (+256 414 257100),https://www.ugandabreweries.co.ug,,https://www.google.com/maps/place/Uganda+Breweries,info@ugandabreweries.co.ug,Found on website,2025-06-15
Coca-Cola Beverages Uganda,Manufacturing / Beverages,"8th Street, Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 250800,Yes (+256 414 250800),https://www.coca-colahellenic.com/uganda,,https://www.google.com/maps/place/Coca-Cola+Uganda,info.uganda@cchbc.com,Found on website,2025-06-15
Nile Breweries Limited,Manufacturing / Brewery,"Namanve Industrial Park, Mukono, Kampala, Uganda",Industrial-Area,+256 414 259100,Yes (+256 414 259100),https://www.nilebreweries.co.ug,,https://www.google.com/maps/place/Nile+Breweries,info@nilebreweries.co.ug,Found on website,2025-06-15
Mukwano Group,Manufacturing / Consumer Goods,"Namanve Industrial Park, Kampala, Uganda",Industrial-Area,+256 414 259200,Yes (+256 414 259200),https://www.mukwano.com,,https://www.google.com/maps/place/Mukwano+Group,info@mukwano.com,Found on website,2025-06-15
Bidco Uganda,Manufacturing / Edible Oils,"Namanve Industrial Park, Mukono, Kampala, Uganda",Industrial-Area,+256 414 289100,Yes (+256 414 289100),https://www.bidcoafrica.com,,https://www.google.com/maps/place/Bidco+Uganda,uganda@bidcoafrica.com,Found on website,2025-06-15
Roofings Uganda Ltd,Manufacturing / Construction Materials,"Namanve Industrial Park, Kampala, Uganda",Industrial-Area,+256 414 250500,Yes (+256 414 250500),https://www.roofings.co.ug,,https://www.google.com/maps/place/Roofings+Uganda,info@roofings.co.ug,Found on website,2025-06-15
Mandela Group,Manufacturing / Pharmaceuticals,"Lugogo Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 343100,Yes (+256 414 343100),https://www.mandelagroup.ug,,https://www.google.com/maps/place/Mandela+Group,info@mandelagroup.ug,Pattern Generated,2025-06-15
Nalubale Steel Works,Manufacturing / Steel,"Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 259400,Yes (+256 414 259400),https://www.nalubalesteel.com,,https://www.google.com/maps/place/Nalubale+Steel+Works,info@nalubalesteel.com,Pattern Generated,2025-06-15
Simba Cement Uganda,Manufacturing / Cement,"Kampala Industrial Area, Uganda",Industrial-Area,+256 414 258000,Yes (+256 414 258000),https://www.simbacement.com,,https://www.google.com/maps/place/Simba+Cement,uganda@simbacement.com,Pattern Generated,2025-06-15
Tororo Cement Ltd,Manufacturing / Cement,"Kampala Office, Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 257700,Yes (+256 414 257700),https://www.tororocement.com,,https://www.google.com/maps/place/Tororo+Cement,info@tororocement.com,Found on website,2025-06-15
Uganda Clays Limited,Manufacturing / Clay Products,"Kampala Industrial Area, Uganda",Industrial-Area,+256 414 259000,Yes (+256 414 259000),https://www.ugandaclays.com,,https://www.google.com/maps/place/Uganda+Clays,info@ugandaclays.com,Pattern Generated,2025-06-15
Crown Beverages Uganda,Manufacturing / Beverages,"Jinja Road, Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 259300,Yes (+256 414 259300),https://www.crownbeverages.co.ug,,https://www.google.com/maps/place/Crown+Beverages,info@crownbeverages.co.ug,Pattern Generated,2025-06-15
Nice House of Plastics,Manufacturing / Plastics,"5th Street, Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 258500,Yes (+256 414 258500),https://www.niceplastics.ug,,https://www.google.com/maps/place/Nice+House+of+Plastics,info@niceplastics.ug,Pattern Generated,2025-06-15
Plastic Recycling Industries Uganda,Manufacturing / Recycling,"Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 343770,Yes (+256 414 343770),https://www.pri.ug,,https://www.google.com/maps/place/Plastic+Recycling+Industries,info@pri.ug,Pattern Generated,2025-06-15
Spear Motors Uganda,Automotive / Dealership,"Plot 24-30, Jinja Road, Kampala, Uganda",Industrial-Area,+256 414 259800,Yes (+256 414 259800),https://www.spearmotors.com,,https://www.google.com/maps/place/Spear+Motors,info@spearmotors.com,Found on website,2025-06-15
Toyota Uganda,Automotive / Dealership,"Plot 9, Jinja Road, Kampala, Uganda",Industrial-Area,+256 414 259700,Yes (+256 414 259700),https://www.toyota.ug,,https://www.google.com/maps/place/Toyota+Uganda,info@toyota.ug,Found on website,2025-06-15
GA Satellites Uganda,Telecom Equipment,"Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 259600,Yes (+256 414 259600),https://www.gasatellites.com,,https://www.google.com/maps/place/GA+Satellites,info@gasatellites.com,Pattern Generated,2025-06-15
Piramide Printers Uganda,Printing Services,"5th Street, Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 258200,Yes (+256 414 258200),https://www.piramide.co.ug,,https://www.google.com/maps/place/Piramide+Printers,info@piramide.co.ug,Pattern Generated,2025-06-15
Graphic Systems Uganda,Printing Services,"Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 258100,Yes (+256 414 258100),https://www.graphicsystems.ug,,https://www.google.com/maps/place/Graphic+Systems,info@graphicsystems.ug,Pattern Generated,2025-06-15
National Water and Sewerage Corporation,Utility / Government,"Plot 29, Jinja Road, Kampala, Uganda",Industrial-Area,+256 414 255800,Yes (+256 414 255800),https://www.nwsc.co.ug,,https://www.google.com/maps/place/NWSC,info@nwsc.co.ug,Found on website,2025-06-15
Uganda Electricity Distribution Company,Utility / Electricity,"Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 259000,Yes (+256 414 259000),https://www.uedcl.co.ug,,https://www.google.com/maps/place/UMEME,info@uedcl.co.ug,Found on website,2025-06-15
SBI International Banking (U) Ltd,Bank,"7th Street, Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 258300,Yes (+256 414 258300),https://www.sbibi.com,,https://www.google.com/maps/place/SBI+Bank,info@sbibi.com,Pattern Generated,2025-06-15
City Tyres Uganda,Automotive / Tyres,"Jinja Road, Kampala, Uganda",Industrial-Area,+256 414 257600,Yes (+256 414 257600),https://www.citytyres.ug,,https://www.google.com/maps/place/City+Tyres,info@citytyres.ug,Pattern Generated,2025-06-15
Good African Coffee Factory,Manufacturing / Coffee,"1st Street, Industrial Area, Kampala, Uganda",Industrial-Area,+256 414 251777,Yes (+256 414 251777),https://www.googafricancoffee.com,,https://www.google.com/maps/place/Good+African+Coffee,info@googafricancoffee.com,Found on website,2025-06-15
