Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Email Address,Additional Phone Numbers,Website Verified,Social Profiles,Email Validation Status,Date Enriched,Source URLs,Date Collected
"The Butcher Shop & Grill","Restaurant / Fine Dining","Sandton City, Rivonia Rd","Sandton","+27 11 883 8710","Not Available","https://www.thebutchershopandgrill.com","https://www.instagram.com/thebutchershopgrill/","Not Available","info@thebutchershopandgrill.com","Not Available","Pending","https://www.instagram.com/thebutchershopgrill/","Pending Validation","2025-07-08","https://www.thebutchershopandgrill.com/contact","2025-07-08"
"Marble Restaurant","Restaurant / Fine Dining","Olive Schreiner Crescent, Sandton City","Sandton","+27 11 217 1000","Not Available","https://marblerestaurant.co.za","https://www.instagram.com/marble_restaurant/","Not Available","info@marblerestaurant.co.za","Not Available","Pending","https://www.instagram.com/marble_restaurant/","Pending Validation","2025-07-08","https://marblerestaurant.co.za/contact","2025-07-08"
"La Parada Sandton","Restaurant / Tapas","Sandton Central, Rivonia Rd","Sandton","+27 11 784 4688","Not Available","https://laparada.co.za","https://www.instagram.com/laparada_za/","Not Available","sandton@laparada.co.za","Not Available","Pending","https://www.instagram.com/laparada_za/","Pending Validation","2025-07-08","https://laparada.co.za/sandton","2025-07-08"
"DW Eleven -13","Restaurant / Fine Dining","131 Stanford Rd, Sandton","Sandton","+27 11 447 3027","Not Available","https://dweleven-13.co.za","https://www.instagram.com/dweleven13/","Not Available","reservations@dweleven-13.co.za","Not Available","Pending","https://www.instagram.com/dweleven13/","Pending Validation","2025-07-08","https://dweleven-13.co.za","2025-07-08"
"The Michelangelo Hotel","Hotel / Luxury","135 Rivonia Rd, Sandton Central","Sandton","+27 11 883 8048","Not Available","https://www.tsogosunhotels.com/michelangelo-hotel","https://www.instagram.com/tsogosunhotels/","Not Available","michelangelo.reservations@tsogosun.com","+27 11 883 8050","Pending","https://www.instagram.com/tsogosunhotels/","Pending Validation","2025-07-08","https://www.tsogosunhotels.com/michelangelo-hotel/contact-us","2025-07-08"
"Radisson Blu Hotel Sandton","Hotel / Luxury","Rivonia Rd, Sandton","Sandton","+27 11 883 8200","Not Available","https://www.radissonblu.com/en/hotel-johannesburg-sandton","Not Available","Not Available","reservations.sandton@radissonblu.com","Not Available","Pending","Not Available","Pending Validation","2025-07-08","https://www.radissonblu.com/en/hotel-johannesburg-sandton/contact","2025-07-08"
"Sandton Sun Hotel","Hotel / Luxury","Sandton City, Rivonia Rd","Sandton","+27 11 883 8282","Not Available","https://www.tsogosunhotels.com/sandton-sun-hotel","https://www.instagram.com/tsogosunhotels/","Not Available","sandtonsun.reservations@tsogosun.com","Not Available","Pending","https://www.instagram.com/tsogosunhotels/","Pending Validation","2025-07-08","https://www.tsogosunhotels.com/sandton-sun-hotel/contact-us","2025-07-08"
"Protea Hotel Fire & Ice","Hotel / Boutique","Maude St, Sandton","Sandton","+27 11 883 8600","Not Available","https://www.proteahotels.com/protea-hotel-fire-ice-sandton","Not Available","Not Available","Not Available","Not Available","Pending","Not Available","N/A","2025-07-08","https://www.marriott.com/hotels/travel/jnbsi-protea-hotel-fire-ice-sandton/","2025-07-08"
"The Da Vinci Hotel","Hotel / Luxury","Maude St, Sandton","Sandton","+27 11 883 8611","Not Available","https://www.tsogosunhotels.com/da-vinci-hotel","Not Available","Not Available","davinci.reservations@tsogosun.com","Not Available","Pending","Not Available","Pending Validation","2025-07-08","https://www.tsogosunhotels.com/da-vinci-hotel/contact-us","2025-07-08"
"Dimension Data","IT Company / Technology","62 Rivonia Rd, Sandton","Sandton","+27 11 575 7800","Not Available","https://www.dimensiondata.com","https://www.linkedin.com/company/dimension-data/","Not Available","Not Available","Not Available","Pending","https://www.linkedin.com/company/dimension-data/","N/A","2025-07-08","https://www.dimensiondata.com/contact","2025-07-08"
"Datacentrix","IT Company / Technology","135 Rivonia Rd, Morningside","Sandton","+27 11 266 7000","Not Available","https://www.datacentrix.co.za","https://www.linkedin.com/company/datacentrix/","Not Available","info@datacentrix.co.za","Not Available","Pending","https://www.linkedin.com/company/datacentrix/","Pending Validation","2025-07-08","https://www.datacentrix.co.za/contact-us","2025-07-08"
"EOH","IT Company / Technology","Sandton City, Rivonia Rd","Sandton","+27 11 207 6000","Not Available","https://www.eoh.com","https://www.linkedin.com/company/eoh/","Not Available","info@eoh.com","Not Available","Pending","https://www.linkedin.com/company/eoh/","Pending Validation","2025-07-08","https://www.eoh.com/contact","2025-07-08"
"Liquid Intelligent Technologies","IT Company / Technology","Sandton","Sandton","+27 11 205 9000","Not Available","https://www.liquid.tech","https://www.linkedin.com/company/liquid-intelligent-technologies/","Not Available","info@liquid.tech","Not Available","Pending","https://www.linkedin.com/company/liquid-intelligent-technologies/","Pending Validation","2025-07-08","https://www.liquid.tech/contact","2025-07-08"
"Internet Solutions","IT Company / Technology","56 Eton Rd, Sandton","Sandton","+27 11 234 9000","Not Available","https://www.is.co.za","https://www.linkedin.com/company/internet-solutions/","Not Available","Not Available","Not Available","Pending","https://www.linkedin.com/company/internet-solutions/","N/A","2025-07-08","https://www.is.co.za/contact","2025-07-08"
"FCB Africa","Marketing / Advertising Agency","Sasol Bank, Rivonia Rd, Sandton","Sandton","+27 11 770 8400","Not Available","https://www.fcbafrica.com","https://www.linkedin.com/company/fcb-africa/","Not Available","Not Available","Not Available","Pending","https://www.linkedin.com/company/fcb-africa/","N/A","2025-07-08","https://www.fcbafrica.com/contact","2025-07-08"
"King James Group","Marketing / Advertising Agency","Sandton","Sandton","+27 21 461 2204","Not Available","https://www.kingjames.co.za","https://www.linkedin.com/company/king-james-group/","Not Available","Not Available","Not Available","Pending","https://www.linkedin.com/company/king-james-group/","N/A","2025-07-08","https://www.kingjames.co.za/contact","2025-07-08"
"Cliffe Dekker Hofmeyr","Law Firm","135 Rivonia Rd, Sandton","Sandton","+27 11 883 0461","Not Available","https://www.cliffedekkerhofmeyr.com","https://www.linkedin.com/company/cliffe-dekker-hofmeyr/","Not Available","Not Available","Not Available","Pending","https://www.linkedin.com/company/cliffe-dekker-hofmeyr/","N/A","2025-07-08","https://www.cliffedekkerhofmeyr.com/contact","2025-07-08"
"Werksmans Attorneys","Law Firm","Sandton City, Rivonia Rd","Sandton","+27 11 535 7500","Not Available","https://www.werksmans.com","https://www.linkedin.com/company/werksmans-attorneys/","Not Available","Not Available","Not Available","Pending","https://www.linkedin.com/company/werksmans-attorneys/","N/A","2025-07-08","https://www.werksmans.com/contact","2025-07-08"
"Bowman Gilfillan","Law Firm","Sandton City, Rivonia Rd","Sandton","+27 11 883 0461","Not Available","https://www.bowman.co.za","https://www.linkedin.com/company/bowman-gilfillan-attorneys/","Not Available","Not Available","Not Available","Pending","https://www.linkedin.com/company/bowman-gilfillan-attorneys/","N/A","2025-07-08","https://www.bowman.co.za/contact","2025-07-08"
"Pam Golding Properties","Real Estate Agency","Sandton City, Rivonia Rd","Sandton","+27 11 883 9100","Not Available","https://www.pamgolding.co.za","https://www.instagram.com/pamgoldingproperties/","Not Available","sandton@pamgolding.co.za","Not Available","Pending","https://www.instagram.com/pamgoldingproperties/","Pending Validation","2025-07-08","https://www.pamgolding.co.za/contact","2025-07-08"
"Lew Geffen Sotheby's","Real Estate Agency","Sandton","Sandton","+27 11 217 7000","Not Available","https://www.lewgeffensothebys.co.za","https://www.instagram.com/lewgeffensothebys/","Not Available","Not Available","Not Available","Pending","https://www.instagram.com/lewgeffensothebys/","N/A","2025-07-08","https://www.lewgeffensothebys.co.za/contact","2025-07-08"
"Seff Properties","Real Estate Agency","Sandton","Sandton","+27 11 467 4444","Not Available","https://www.seeff.co.za","https://www.instagram.com/seeffproperties/","Not Available","Not Available","Not Available","Pending","https://www.instagram.com/seeffproperties/","N/A","2025-07-08","https://www.seeff.co.za/contact","2025-07-08"
"Virgin Active Sandton","Gym / Fitness Centre","Sandton City, Rivonia Rd","Sandton","+27 11 883 9300","Not Available","https://www.virginactive.co.za","https://www.instagram.com/virginactiveza/","Not Available","Not Available","Not Available","Pending","https://www.instagram.com/virginactiveza/","N/A","2025-07-08","https://www.virginactive.co.za/contact","2025-07-08"
"Planet Fitness Sandton","Gym / Fitness Centre","Sandton City","Sandton","+27 11 883 0635","Not Available","https://www.planetfitness.co.za","https://www.instagram.com/planetfitnesssa/","Not Available","Not Available","Not Available","Pending","https://www.instagram.com/planetfitnesssa/","N/A","2025-07-08","https://www.planetfitness.co.za/contact","2025-07-08"
"St Stithians College","School / Private","36 Fourways Blvd, Sandton","Sandton","+27 11 577 6000","Not Available","https://www.stithian.com","https://www.facebook.com/StStithiansCollege/","Not Available","admissions@stithian.com","Not Available","Pending","https://www.facebook.com/StStithiansCollege/","Pending Validation","2025-07-08","https://www.stithian.com/contact","2025-07-08"
"Redhill School","School / Private","20 Frank St, Sandton","Sandton","+27 11 023 5300","Not Available","https://www.redhill.co.za","https://www.instagram.com/redhillschool/","Not Available","Not Available","Not Available","Pending","https://www.instagram.com/redhillschool/","N/A","2025-07-08","https://www.redhill.co.za/contact","2025-07-08"
"Dainfern College","School / Private","Dainfern College Dr, Fourways, Sandton","Sandton","+27 11 539 0200","Not Available","https://www.dainferncollege.co.za","Not Available","Not Available","Not Available","Not Available","Pending","Not Available","N/A","2025-07-08","https://www.dainferncollege.co.za/contact","2025-07-08"
