business_name,business_niche,address,city_area,phone_number,website,email,social_media_links,date_collected,source_url
Uganda Coffee Development Authority,Government / Agriculture,"Coffee House, Jinja Road, Kampala, Uganda",Kololo,+256 414 251210,https://www.ugandacoffee.go.ug,info@ugandacoffee.go.ug,,2025-06-15,https://www.ugandacoffee.go.ug
Uganda Wildlife Authority,Government / Tourism,"Plot 7, Kintu Road, Kampala, Uganda",Kololo,+256 414 346287,https://www.ugandawildlife.org,info@ugandawildlife.org,https://twitter.com/UgWildlife,2025-06-15,https://www.ugandawildlife.org
Africell Uganda,Telecommunications,"Lugogo, Kampala, Uganda",Kololo,+256 414 259400,https://www.africell.ug,info@africell.ug,https://twitter.com/AfricellUG,2025-06-15,https://www.africell.ug
Marriott Hotel Kampala,Hotel,"Nile Avenue, Kampala, Uganda",Kololo,+256 414 350100,https://www.marriott.com/kampala,kampala.marriott@marriott.com,,2025-06-15,https://www.marriott.com/hotels/travel/ebbrk-kampala-marriott-hotel/
Uganda Registration Services Authority,Government / Legal Services,"Plot 5, George Street, Kampala, Uganda",Kololo,+256 414 257018,https://www.ursa.go.ug,info@ursa.go.ug,,2025-06-15,https://www.ursa.go.ug
Breckenridge Fine Coffee & Wines,Restaurant / Wine Bar,"Kololo Hill Road, Kampala, Uganda",Kololo,+256 414 346828,https://www.breckenridge.co.ug,info@breckenridge.co.ug,https://www.instagram.com/breckenridgeug/,2025-06-15,https://www.tripadvisor.com/Breckenridge-Fine-Coffee
Katanga Studios,Creative / Design Agency,"Kololo, Kampala, Uganda",Kololo,+256 772 200100,https://www.katangastudios.com,info@katangastudios.com,,2025-06-15,https://www.katangastudios.com
Mango Tourism Uganda,Travel Agency,"Kololo, Kampala, Uganda",Kololo,+256 772 300200,https://www.mangotours.ug,info@mangotours.ug,,2025-06-15,https://www.mangotours.ug
Uganda Red Cross Society,NGO / Humanitarian,"Plot 89/90, Rubaga Road, Kampala, Uganda",Kololo,+256 414 259800,https://www.redcrossug.org,info@redcrossug.org,https://twitter.com/URCS_HQ,2025-06-15,https://www.redcrossug.org
Crown Beverages (Pepsi),Manufacturing / Beverages,"Jinja Road, Kampala, Uganda",Kololo,+256 414 259300,https://www.pepsi.ug,info@pepsi.ug,,2025-06-15,https://www.pepsi.ug
