company_name,industry,linkedin_url,website,address,phone,email,employee_range,description,date_collected,source
Geodrill,Mining,https://www.linkedin.com/company/geodrillgh,,Airport Residential Area Accra Ghana,,,"11-50",Leading West-African-Based Mineral Driller Providing Exploration and Development Services across West Africa North Africa and South America,2026-04-05,Yahoo Search
Akka Kappa Ltd,Real Estate,https://gh.linkedin.com/company/akkakappaghana,,Airport Residential Area Accra,,,"11-50","The Real Estate Experts - EuRA || Werc || MIM REAC Licensed Agency",2026-04-05,Yahoo Search
Kass Towers,Real Estate,https://gh.linkedin.com/company/kass-towers-airport-residential/,,Airport Residential Area Accra,,,"1-10","Accra's Most Rewarding Investment - A modern development near Kotoka International Airport",2026-04-05,Yahoo Search
Africa10,Technology,https://www.linkedin.com/company/africa10,,8 Amilcar Cabral Street Airport Residential Accra GA-085-8565 Ghana,,,,"11-50",Primary location in Airport Residential Area Accra,2026-04-05,Yahoo Search
Bijou Homes Ghana,Real Estate,https://www.linkedin.com/company/bijou-homes-ghana,,Airport Residential Accra,,,"11-50","Redefining modern living",2026-04-05,Yahoo Search
Mirage Residence,Hospitality,https://www.linkedin.com/company/mirage-residence,www.mirage.com.gh,"18 Senchi Street, Airport Residential Area, Accra-Ghana","+233 020 174 6033",,"11-50","Hotel Concept Apartments in Airport Residential Area",2026-04-05,Yahoo Search
Villa Monticello,Hospitality,https://www.linkedin.com/company/villa-monticello,,Airport Residential Area Accra,,,"11-50","Ghana's premier boutique hotel in one of the most exclusive areas in Accra",2026-04-05,Yahoo Search
Truman Universal,Investment,https://gh.linkedin.com/company/truman-universal,,Airport Residential Accra Greater Accra,,,"1-10","One of the fastest growing investment groups in west Africa",2026-04-05,Yahoo Search
OMA Group in Africa,Engineering/Construction,https://ci.linkedin.com/company/omagroup-africa,,HQ in Accra Ghana,,,"201-500","HQ in Accra Ghana - ISO 9001:2015 45001:2018 certified",2026-04-05,Yahoo Search
LVSafrica,Business Consulting,https://gh.linkedin.com/company/lvsafrica,,Airport Residential Area Greater Accra,,,"11-50","Enterprise Development Doctors - Integrated Business Advisory",2026-04-05,Yahoo Search
ASPIRx Group,Real Estate,https://gh.linkedin.com/company/aspirx-group,,Odoi Kwao St No 3 Airport Residential Area Accra 00233 Ghana,,,"11-50",Holding company focusing on healthcare infrastructure real estate development and renewables,2026-04-05,Yahoo Search
Powersoft System,Information Technology,https://gh.linkedin.com/company/powersoftsystem1,,Airport-Residential Accra Ghana,,,"11-50","Leading software company in Ghana - HR & Payroll Software Accounting Software",2026-04-05,Yahoo Search
Old Mutual Ghana,Financial Services,https://gh.linkedin.com/company/old-mutual-gh,,Airport Residential Area Accra Greater Accra,,,"201-500","Do Great Things Everyday - Life Assurance Company operating in Ghana since 2013",2026-04-05,Yahoo Search
Sunshine Healthcare Ltd,Healthcare,https://sn.linkedin.com/company/sunshine-healthcare-ltd,,Airport Residential Area Accra,,,"11-50","Excellence in Diagnostics - State of the art healthcare facility",2026-04-05,Yahoo Search
Airport Women's Hospital,Healthcare,https://gh.linkedin.com/company/airport-women-s-hospital,,Airport Residential Area Accra,,,"51-200","32 bed capacity hospital with Executive Private Suites and ultra-modern facilities",2026-04-05,Yahoo Search
Elora Realty Investments,Real Estate,https://www.linkedin.com/company/elora-realty-investments,,Airport Residential Area Accra,,,"1-10","Focus on prime locations like Airport Residential Area - ultra-luxurious living experiences",2026-04-05,Yahoo Search
Invictus Developers Ghana,Real Estate,https://www.linkedin.com/company/invictusdevelopersgh,,Airport Residential Area Accra,,,"1-10","Array of residential and rental property developments",2026-04-05,Yahoo Search
Hyde Homes Ghana,Real Estate,https://www.linkedin.com/company/hyde-homes-ghana/,,Accra Ghana,,,"1-10","Boutique real estate firm with headquarters in Accra Ghana",2026-04-05,Yahoo Search
Arcoa Ghana Limited,Healthcare,https://www.linkedin.com/company/arcoaghana,,Accra Greater Accra,,,"11-50","Leading supplier of medical and laboratory equipment in Ghana",2026-04-05,Yahoo Search
TranaTek Africa Limited,Technology,https://www.linkedin.com/company/trana-tek-limited,,14 Senchi Street Airport Residential Area Accra Greater Accra,,,"1-10",Technology company located in Airport Residential Area,2026-04-05,Yahoo Search
Ghana Airports Company Limited,Aviation,https://gh.linkedin.com/company/ghana-airport-company-limited,,Accra Ghana,,,"201-500","Established from decoupling of Ghana Civil Aviation Authority",2026-04-05,Yahoo Search
Ghana Airport Cargo Centre,Logistics,https://gh.linkedin.com/company/ghana-airport-cargo-centre,,Accra Ghana,,,"11-50","Centrally located within Accra Ghana surrounded by the largest prominent companies",2026-04-05,Yahoo Search
GBfoods Ghana,Food & Beverage,https://gh.linkedin.com/company/gb-foods-ghana,,Airport City Accra Ghana,,,"201-500","Leading company in the FMCG industry in Ghana",2026-04-05,Yahoo Search
The Palms by Eagles,Hospitality,https://gh.linkedin.com/company/the-palms-by-eagles,,Airport City Accra,,,"11-50","Luxury Living with unflinching commitment to service",2026-04-05,Yahoo Search
Telecel Ghana,Telecommunications,https://gh.linkedin.com/company/telecel-gh,,Airport City Accra,,,"1001-5000","Digital and communications solutions provider - second-ranked mobile operator in Ghana",2026-04-05,Yahoo Search
NIB Ghana,Banking,https://www.linkedin.com/company/nibghana,,Manet Tower B Plot 25 Airport City Accra Greater Accra,,,"51-200",Banking institution located in Airport City Accra,2026-04-05,Yahoo Search
NewGen Energy Solutions,Renewable Energy,https://gh.linkedin.com/company/newgenenergyafrica,,Airport City Accra,,,"1-10","Sustainable energy solutions for cities and industries in Africa",2026-04-05,Yahoo Search
Heppipe Ghana,Energy,https://www.linkedin.com/company/heppipegh,,Plot 16 Airport City Accra Ghana,,,"1-10",Energy infrastructure company in Airport City,2026-04-05,Yahoo Search
Beacon Health,Healthcare,https://gh.linkedin.com/company/beaconhealthgh,,Airport City Accra,,,"1-10","Connecting Care Empowering Wellness",2026-04-05,Yahoo Search
EnableIT Ghana,Information Technology,https://enableitgh.com,"19 Kofi Annan Street, Airport Residential Area, Accra","+233 20 300 2444",info@enableitgh.com,"1-10",IT services company in Airport Residential Area,2026-04-05,Yahoo Search
ABPO LTD,Business Process Outsourcing,https://gh.linkedin.com/company/abpo-ltd,,Accra Greater Accra,,,"11-50","The Best Call Center Solution - Creative & Innovative Business Solution",2026-04-05,Yahoo Search
Consolidated Bank Ghana,Banking,https://www.linkedin.com/company/cbgbankltd/,,Accra Greater Accra,,,"1001-5000","We Stand With You - Major Ghanaian bank",2026-04-05,Yahoo Search
JLP Engineering Solutions,Engineering,https://www.linkedin.com/company/jlp-engineering-solutions,,Accra Ghana,,,"51-200","Manpower Supply Training and Technical Services for industry clients",2026-04-05,Yahoo Search
Clifton Homes Ghana,Real Estate,https://www.linkedin.com/company/cliftonhomesghana,,34 Senchi Street Airport Residential Area Accra Greater Accra,,,"51-200",Real estate development company in Airport Residential,2026-04-05,ContactOut/D&B
Devtraco Plus Ghana Limited,Real Estate,https://devtracogroup.com,"No.7 Noi Fetreke Street, Airport Residential Area; No. 8 Sir Arku Korsah Rd, Accra",,,"51-200","Real Estate Developer with 4 ongoing and 7 completed projects",2026-04-05,Yahoo Search
ZEN Petroleum,Oil & Gas,https://www.zenpetroleum.com/contact-us,"13 Patrice Lumumba Road, Airport Residential Area, Cantonments, Accra","+233 302 611 328",info@zenpetroleum.com,"51-200",Petroleum distribution company in Airport Residential Area,2026-04-05,Yahoo Search
Orsam Energies,Energy,https://orsam-energies.com/en/contact-us,"11 Patrice Lumumba Road, Block B: 2nd Floor, Airport Residential Area, Accra",,,,"11-50",Energy company based in Airport Residential Area Accra,2026-04-05,Yahoo Search
Cenit Energy,Energy,https://cenitenergy.com,"House No.15, Agostinho Neto Road, Airport Residential Area, Accra",,,,"11-50",Energy company with offices at Agostinho Neto Road Airport Residential Area,2026-04-05,Yahoo Search
Tradeco Ghana Limited,Trading,https://tradecogh.com/contact-us,"#19 Second Close, Volta St. Airport Residential Area, Accra Ghana","+233302769139",,"1-10",Trading company located in Airport Residential Area,2026-04-05,Yahoo Search
Africa Trade Finance Company Ltd (ATFCC),Financial Services,https://gh.linkedin.com/company/africa-trade-finance-company-ltd-atfcc,,Accra Ghana,,,"11-50","Financing Your Business with NO BARRIERS - Authorised Trade Finance representative",2026-04-05,Yahoo Search
Universal Merchant Bank (UMB),Banking,https://www.linkedin.com/company/myumbbank/,,Accra Greater Accra,,,"1001-5000","Leading Ghanaian indigenous bank serving since 1972",2026-04-05,Yahoo Search
Aerojet Aviation,Aviation,https://gh.linkedin.com/company/aerojet-aviation,http://aerojet-aviation.com,Accra Ghana,,,"11-50",Airlines and Aviation company headquartered in Accra,2026-04-05,Yahoo Search
McDan Aviation,Aviation,https://gh.linkedin.com/company/mcdanaviation,,East Legon Accra Ghana,,,"51-200","Private Jet Charterer and Fixed Base Operator (FBO) in Ghana founded October 2018",2026-04-05,Yahoo Search
SBMAN Flight Support,Aviation,https://in.linkedin.com/company/sbman-flight-support,,Accra Ghana,,,"11-50","Flight Operations Management and Air Charter Brokerage with HQ in Accra-Ghana",2026-04-05,Yahoo Search
Level10 Communications Technologies,Information Technology,https://www.linkedin.com/company/level10-communications-technologies,,Accra Ghana,,,"11-50",IT company specializing in cybersecurity and cloud-based solutions,2026-04-05,Yahoo Search
Wala Digital Health,Healthcare Technology,https://www.linkedin.com/company/waladigital,,Cambridge MA,,,"11-50","SaaS Software connecting hospitals and donors for critical life-saving transfusions",2026-04-05,Yahoo Search
Summerton Group,Advisory/Investment,https://summertongroup.com,,Accra Ghana,,,"11-50","Multi-industry expertise spanning real estate advisory aviation and healthcare",2026-04-05,Yahoo Search
Frontier Pipeline Services,Engineering,https://www.dnb.com/business-directory/company-profiles.frontier_pipeline_services_(pty)_ltd_airport_residential_area_accra,,Airport Residential Area Accra,,,"11-50",Pipeline services company in Airport Residential Area,2026-04-05,Dun & Bradstreet
Sandvik Mining and Construction Ghana Ltd,Mining,https://www.volza.com/company-profile/sandvik-mining-and-construction-ghana-ltd-co-6825-code-unit-1-plot-d-senchi-loop-airport-residential-area-accra-ghana-44059427/,"Code Unit 1 Plot D Senchi Loop, Airport Residential Area, Accra",,,,"201-500",Mining and construction equipment supplier,2026-04-05,Volza
Inside Matters Ghana Ltd,Interior Design,https://www.success.ai/company-directory/inside-matters-ghana-ltd.-5495954467,,Airport Residential Area Accra,,,"11-50",Interior design and fit-out company,2026-04-05,Yahoo Search
