Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Email Address,Additional Phone Numbers,Website Verified,Social Profiles,Email Validation Status,Date Enriched,Source URLs,Date Collected
"The Grillhouse Rosebank","Restaurant / Fine Dining","The Firs, Cradock Ave, Rosebank","Rosebank","+27 11 784 5507","Not Available","https://www.thegrillhouse.co.za","https://www.instagram.com/thegrillhouse_za/","Not Available","info@thegrillhouse.co.za","Not Available","Pending","https://www.instagram.com/thegrillhouse_za/","Pending Validation","2025-07-08","https://www.thegrillhouse.co.za/contact","2025-07-08"
"Tashas Rosebank","Restaurant / Cafe","The Firs, Cradock Ave, Rosebank","Rosebank","+27 11 447 2178","Not Available","https://tashas.co.za","https://www.instagram.com/tashasza/","Not Available","info@tashas.co.za","Not Available","Pending","https://www.instagram.com/tashasza/","Pending Validation","2025-07-08","https://tashas.co.za/contact","2025-07-08"
"Hugo's Restaurant","Restaurant / Fine Dining","Hyatt Regency, 191 Oxford Rd, Rosebank","Rosebank","+27 11 326 9600","Not Available","https://www.hyatt.com/en-US/hotel/south-africa/hyatt-regency-johannesburg/jnbri/dining","Not Available","Not Available","johannesburg.regency@hyatt.com","Not Available","Pending","Not Available","Pending Validation","2025-07-08","https://www.hyatt.com","2025-07-08"
"4th Avenue Wine & Coffee","Restaurant / Cafe","4th Ave, Parkhurst, Rosebank","Rosebank","+27 11 646 5699","Not Available","https://www.4thavenue.co.za","https://www.instagram.com/4thavenuecoffee/","Not Available","info@4thavenue.co.za","Not Available","Pending","https://www.instagram.com/4thavenuecoffee/","Pending Validation","2025-07-08","https://www.4thavenue.co.za/contact","2025-07-08"
"The Rosebank Hotel","Hotel / Boutique","15 Sturdee Ave, Rosebank","Rosebank","+27 11 280 8500","Not Available","https://www.therosebank.co.za","https://www.instagram.com/therosebankhotel/","Not Available","reservations@therosebank.co.za","Not Available","Pending","https://www.instagram.com/therosebankhotel/","Pending Validation","2025-07-08","https://www.therosebank.co.za/contact","2025-07-08"
"Hyatt Regency Johannesburg","Hotel / Luxury","191 Oxford Rd, Rosebank","Rosebank","+27 11 326 9600","Not Available","https://www.hyatt.com/en-US/hotel/south-africa/hyatt-regency-johannesburg/jnbri","https://www.instagram.com/hyattregencyjoburg/","Not Available","johannesburg.regency@hyatt.com","Not Available","Pending","https://www.instagram.com/hyattregencyjoburg/","Pending Validation","2025-07-08","https://www.hyatt.com","2025-07-08"
"CourtClassique Hotel","Hotel / Boutique","12 Tyrwhitt Ave, Rosebank","Rosebank","+27 11 880 2285","Not Available","https://www.courtclassique.co.za","Not Available","Not Available","info@courtclassique.co.za","Not Available","Pending","Not Available","Pending Validation","2025-07-08","https://www.courtclassique.co.za","2025-07-08"
"54 on Bath Hotel","Hotel / Luxury","54 Bath Ave, Rosebank","Rosebank","+27 11 880 2800","Not Available","https://www.54onbath.co.za","https://www.instagram.com/54onbath/","Not Available","reservations@54onbath.co.za","Not Available","Pending","https://www.instagram.com/54onbath/","Pending Validation","2025-07-08","https://www.54onbath.co.za/contact","2025-07-08"
"BCX (Pty) Ltd","IT Company / Technology","22 Sandton Dr, Sandton","Rosebank","+27 11 233 0000","Not Available","https://www.bcx.co.za","https://www.linkedin.com/company/bcx-south-africa/","Not Available","Not Available","Not Available","Pending","https://www.linkedin.com/company/bcx-south-africa/","N/A","2025-07-08","https://www.bcx.co.za/contact","2025-07-08"
"Afrihost","IT Company / Technology","The Campus, 57 Sloane St, Bryanston","Rosebank","+27 11 612 7200","Not Available","https://www.afrihost.com","https://www.instagram.com/afrihost/","Not Available","Not Available","Not Available","Pending","https://www.instagram.com/afrihost/","N/A","2025-07-08","https://www.afrihost.com/contact","2025-07-08"
"Moyo Urban Zoo Lake","Restaurant / African Cuisine","Zoo Lake, Jan Smuts Ave, Rosebank","Rosebank","+27 11 447 7262","Not Available","https://www.moyo.co.za","https://www.instagram.com/moyoza/","Not Available","Not Available","Not Available","Pending","https://www.instagram.com/moyoza/","N/A","2025-07-08","https://www.moyo.co.za","2025-07-08"
"Piatto Restaurant","Restaurant / Italian","The Firs, Cradock Ave, Rosebank","Rosebank","+27 11 447 5336","Not Available","https://piattorestaurant.co.za","https://www.instagram.com/piattorestaurant/","Not Available","info@piattorestaurant.co.za","Not Available","Pending","https://www.instagram.com/piattorestaurant/","Pending Validation","2025-07-08","https://piattorestaurant.co.za/contact","2025-07-08"
"Zone Fitness Rosebank","Gym / Fitness Centre","The Zone, 37 Wierda Rd, Sandton","Rosebank","+27 11 883 0635","Not Available","https://www.planetfitness.co.za","https://www.instagram.com/planetfitnesssa/","Not Available","Not Available","Not Available","Pending","https://www.instagram.com/planetfitnesssa/","N/A","2025-07-08","https://www.planetfitness.co.za/contact","2025-07-08"
"Crawford International School","School / Private","Benmore Rd, Sandton","Rosebank","+27 11 234 0380","Not Available","https://www.crawfordschools.co.za","https://www.facebook.com/CrawfordSchools/","Not Available","Not Available","Not Available","Pending","https://www.facebook.com/CrawfordSchools/","N/A","2025-07-08","https://www.crawfordschools.co.za/contact","2025-07-08"
"Curro Academy Sandton","School / Private","Cnr Main & Rivonia Rd, Sandton","Rosebank","+27 11 070 5400","Not Available","https://www.curro.co.za","https://www.facebook.com/Curro/","Not Available","Not Available","Not Available","Pending","https://www.facebook.com/Curro/","N/A","2025-07-08","https://www.curro.co.za/contact","2025-07-08"
