business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
Uganda Breweries Limited,Manufacturing / Brewery,"1 Port Bell Road, Industrial Area, Kampala, Uganda",+256 414 257100,Yes (+256 414 257100),https://www.ugandabreweries.co.ug,info@ugandabreweries.co.ug,,Found on website,2025-06-15,https://www.ugandabreweries.co.ug
Coca-Cola Beverages Uganda,Manufacturing / Beverages,"8th Street, Industrial Area, Kampala, Uganda",+256 414 250800,Yes (+256 414 250800),https://www.coca-colahellenic.com/uganda,info.uganda@cchbc.com,,Found on website,2025-06-15,https://www.coca-colahellenic.com/uganda
Nile Breweries Limited,Manufacturing / Brewery,"Namanve Industrial Park, Mukono, Kampala, Uganda",+256 414 259100,Yes (+256 414 259100),https://www.nilebreweries.co.ug,info@nilebreweries.co.ug,,Found on website,2025-06-15,https://www.nilebreweries.co.ug
Mukwano Group,Manufacturing / Consumer Goods,"Namanve Industrial Park, Kampala, Uganda",+256 414 259200,Yes (+256 414 259200),https://www.mukwano.com,info@mukwano.com,,Found on website,2025-06-15,https://www.mukwano.com
Bidco Uganda,Manufacturing / Edible Oils,"Namanve Industrial Park, Mukono, Kampala, Uganda",+256 414 289100,Yes (+256 414 289100),https://www.bidcoafrica.com,uganda@bidcoafrica.com,,Found on website,2025-06-15,https://www.bidcoafrica.com
Roofings Uganda Ltd,Manufacturing / Construction Materials,"Namanve Industrial Park, Kampala, Uganda",+256 414 250500,Yes (+256 414 250500),https://www.roofings.co.ug,info@roofings.co.ug,,Found on website,2025-06-15,https://www.roofings.co.ug
Mandela Group,Manufacturing / Pharmaceuticals,"Lugogo Industrial Area, Kampala, Uganda",+256 414 343100,Yes (+256 414 343100),https://www.mandelagroup.ug,info@mandelagroup.ug,,Pattern Generated,2025-06-15,https://www.mandelagroup.ug
Nalubale Steel Works,Manufacturing / Steel,"Industrial Area, Kampala, Uganda",+256 414 259400,Yes (+256 414 259400),https://www.nalubalesteel.com,info@nalubalesteel.com,,Pattern Generated,2025-06-15,https://www.nalubalesteel.com
Simba Cement Uganda,Manufacturing / Cement,"Kampala Industrial Area, Uganda",+256 414 258000,Yes (+256 414 258000),https://www.simbacement.com,uganda@simbacement.com,,Pattern Generated,2025-06-15,https://www.simbacement.com
Tororo Cement Ltd,Manufacturing / Cement,"Kampala Office, Industrial Area, Kampala, Uganda",+256 414 257700,Yes (+256 414 257700),https://www.tororocement.com,info@tororocement.com,,Found on website,2025-06-15,https://www.tororocement.com
