type,name,industry,linkedin_url,description,date_collected,source
company,STARLITE,Retail,https://gh.linkedin.com/company/star-lite-gh,"Our  Accra  Mall branch was planned and opened its' doors for business keeping in mind the changing demographics of  Accra , in particular, the growing middle to high income households and the...",2026-04-05,"site:linkedin.com/company ""Osu"" Accra Ghana"
company,"Kissi Consult (Chartered Accountants, Tax & Management",Finance & Professional Services,https://gh.linkedin.com/company/kissi-consult-chartered-accountants-tax-management-consultants,"Kissi Consult is a medium-sized professional services firm in  Ghana , located in  Accra - Osu , with one Chief Executive Officer, three Partners, and nineteen dedicated staff.",2026-04-05,"site:linkedin.com/company ""Osu"" Accra Ghana"
company,Sonotech Medical and Diagnostic Center,Healthcare,https://gh.linkedin.com/company/sonotech-medical-center,A Leading 24/7 Clinical and Diagnostic Services in  Ghana  | GP & Specialist Clinic| Advanced Imaging | Pharmacy | Sonotech Medical Center is a leading provider of 24/7 clinical and diagnostic...,2026-04-05,"site:linkedin.com/company ""Osu"" Accra Ghana"
company,Andas Solutions Ltd,Technology,https://www.linkedin.com/company/andassolutions,"Headquarters  Osu ,  Accra  Type Privately Held Founded 2021 Specialties software development, event management, IT solutions, Branding, Product Design, Point of sales solutions, and Restaurant ...",2026-04-05,"site:linkedin.com/company ""Osu"" Accra Ghana"
company,Innovate Labs (Ghana),Hospitality & Tourism,https://gh.linkedin.com/company/innovate-labs-ghana,Innovate Labs ( Ghana ) | 402 followers on  LinkedIn . We provide cutting-edge product design and rapid prototyping services.,2026-04-05,"site:linkedin.com/company ""Osu"" Accra Ghana"
company,Nuffield Clinic Gh,Healthcare,https://gh.linkedin.com/company/nuffield-clinic-gh,"Welcome to Nuffield Clinic, your trusted Health Partner in Specialist Healthcare located in  Osu ,  Accra . Nuffield Clinic is a specialist Clinic in ORTHOPAEDIC, RHEUMATOLOGY AND PHYSIOTHERAPY...",2026-04-05,"site:linkedin.com/company ""Osu"" Accra Ghana"
company,Venture Nest,Hospitality & Tourism,https://gh.linkedin.com/company/venturenestinnovationprogram,"Professional Training and Coaching  Osu , Greater  Accra  665 followers Not just a space. A system of innovation. About us Venture Nest is an innovation and learning hub that powers the next...",2026-04-05,"site:linkedin.com/company ""Osu"" Accra Ghana"
company,GTI HOLDING,Technology,https://gh.linkedin.com/company/gti-holding,"GTI HOLDING Technology, Information and Media  Accra , Osu  Oxford   Street  ,  Accra  2,559 followers GTI Holding aims to change lives through service, innovation, technology, education, and...",2026-04-05,"site:linkedin.com/company ""Oxford Street"" Accra"
company,Yoks Rent A Car,Logistics & Transport,https://gh.linkedin.com/company/yoksrentacar,"Locations Primary 3rd Lane, Osu  Oxford   Street   Accra , GH Get directions Independence Avenue Ridge  Accra , Greater  Accra  23321, GH Get directions",2026-04-05,"site:linkedin.com/company ""Oxford Street"" Accra"
company,Marmo's Studios,Marketing & Media,https://gh.linkedin.com/company/marmostudios,"Marmo’s Studios is a creative design agency based in  Accra , Ghana, specializing in brand identity, UI/UX design, and product strategy. We help bold brands build clarity through design, from logos...",2026-04-05,"site:linkedin.com/company ""Oxford Street"" Accra"
company,"Oxford Street Design, Inc.",Design & Innovation,https://www.linkedin.com/company/oxford-street-design-inc,"Oxford   Street  Design, Inc. specializes in designing residential and commercial spaces. We strive to create stylish and functional designs for our clients to enjoy a beautiful space to live and...",2026-04-05,"site:linkedin.com/company ""Oxford Street"" Accra"
company,Dopeon Digital Services,Technology,https://gh.linkedin.com/company/dopeon-digital-services,"About us Welcome to Dopeon Digital Services, your strategic partner in digital transformation. We build market-ready professionals and launch-ready businesses from our hub in  Accra , Ghana. Our...",2026-04-05,site:linkedin.com/company Osu Accra startup
company,Growth Mosaic,General Business,https://gh.linkedin.com/company/growth-mosaic,"Locations Primary F393/5 Otswe Street Ako Adjei ( Osu )  Accra , CT10889, GH Get directions",2026-04-05,site:linkedin.com/company Osu Accra startup
