company_name,industry,linkedin_url,website,address,phone,email,employee_range,description,date_collected,source
MM Homes,Real Estate,https://www.linkedin.com/company/mm-homes,https://www.mmhomes.com.gh,"Apex Building, Boundary Road, East Legon, Accra",+233-30-397-3846,info@mmhomes.com.gh,11-50,Luxury property developer offering benchmarked properties in prime locations across Accra. The True Definition of Luxury.,2026-04-05,Brave Search + LinkedIn
Atuguba & Associates,Legal Services,https://www.linkedin.com/company/atuguba-associates,,"East Legon, Accra, Ghana",,,11-50,Leading law firm located at East Legon with over 12 years of legal practice. Law for Humanity.,2026-04-05,Brave Search + LinkedIn
Caveman Watches,Fashion & Accessories,https://www.linkedin.com/company/cavemanwatches,,"Plot 81 Adjiringanor, East Legon, Accra",,,11-50,"First Ghanaian watch brand. Handmade leather straps, watch customization, and watch repairs. Privately held, founded 2017.",2026-04-05,Brave Search + LinkedIn
Sonia Hotel,Hospitality,https://www.linkedin.com/company/soniahotel,,"9 Hibiscus Avenue, East Legon, Accra",+233 30 296 9408,soniahotelgh@gmail.com,11-50,"Best place to enjoy your vacation. Hotel in the heart of East Legon, Accra.",2026-04-05,Brave Search + LinkedIn
eSolutions Consulting,IT & Business Services,https://www.linkedin.com/company/esolutions-consulting,http://esolutionsghana.com,"No. 2 Asoyi Street, East Legon, Accra",,,2-10,"Business services and IT consulting firm based in East Legon, Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
Galaxy International School,Education,https://www.linkedin.com/company/galaxyintschool,,"East Legon, Accra, Ghana",,,51-200,"Pre-School, Primary, IGCSE, WASSCE, A-LEVEL. Three campuses including primary and preschool in East Legon.",2026-04-05,Brave Search + LinkedIn
Mixdown Studios,Media & Production,https://www.linkedin.com/company/mixdown-studios,,"East Legon, Accra, Ghana",,,2-10,"Full video and audio production services. Housed in East Legon, Accra.",2026-04-05,Brave Search + LinkedIn
North Legon Hospital,Healthcare,https://www.linkedin.com/company/north-legon-hospital,,"North Legon, Accra, Ghana",,,51-200,Hospital providing healthcare services in the North Legon area of Accra.,2026-04-05,Brave Search + LinkedIn
Rabito Clinic Limited,Healthcare,https://www.linkedin.com/company/rabito-clinic-limited,,"Accra, Ghana",,,201-500,"General medicine, obstetrics & gynecology, pharmaceutical, diagnostic and laboratory services at competitive prices.",2026-04-05,Brave Search + LinkedIn
Leasafric Ghana Ltd,Financial Services,https://www.linkedin.com/company/leasafric-ghana-ltd,,"East Legon, Accra, Ghana",,,51-200,Non-bank financial institution licensed and regulated by the Bank of Ghana. Registered March 1992.,2026-04-05,Brave Search + LinkedIn
Innohub,Business Consulting & Incubation,https://www.linkedin.com/company/innohubconnect,,"Accra, Ghana",,,11-50,Empowers businesses to create jobs and shared prosperity. Business incubator and consulting firm.,2026-04-05,Brave Search + LinkedIn
Hisense Ghana Ltd,Electronics & Retail,https://www.linkedin.com/company/hisesne-ghana,,"East Legon, North Industrial Area, Accra",,,51-200,Entered Ghanaian market in 2011. Headquarters in Accra with showrooms in East Legon and North Industrial Area. Retailer and wholesaler of electronics.,2026-04-05,Brave Search + LinkedIn
Queens International School,Education,https://www.linkedin.com/company/queens-international-school-east-legon,,"East Legon, Accra, Ghana",,,51-200,"International school headquartered in Accra, Greater Accra, Ghana.",2026-04-05,Brave Search + LinkedIn
Lycée Français International Jacques Prévert Accra,Education,https://www.linkedin.com/company/lycée-francais-accra-jacques-prévert,,"East Legon, Accra, Ghana",,,51-200,"French international school in Accra, serving the expatriate and local community.",2026-04-05,Brave Search + LinkedIn
Ecole Ronsard Bilingual School,Education,https://www.linkedin.com/company/ecole-ronsard,,"East Legon, Accra, Ghana",,,11-50,"Bilingual school in Accra, Ghana providing French-English education.",2026-04-05,Brave Search + LinkedIn
