Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Date Collected
"Eko Hotels & Suites","Hotel","Plot 1415 Adetokunbo Ademola Street PMB 12724 Victoria Island Lagos","Victoria Island","+234 1 2772700","Possible (+234 9092772700)","https://www.ekohotels.com","https://facebook.com/EkoHotels","https://maps.google.com/?cid=ekohotels-vi","2025-06-27"
"Radisson Blu Anchorage Hotel Lagos","Hotel","Ozumba Mbadiwe Road Victoria Island Lagos Nigeria 101241","Victoria Island","+234 8 139 850","Not Available","https://www.radissonhotels.com/en-us/hotels/radisson-blu-lagos-anchorage","https://facebook.com/RadissonBlulagos","https://maps.google.com/?cid=radisson-blu-lagos","2025-06-27"
"Lagos Continental Hotel","Hotel","Plot 52A Kofo Abayomi Street Victoria Island Lagos 101241","Victoria Island","+234 1 2366666","Not Available","https://lagoscontinentalhotel.com-nigeria.com","https://facebook.com/lagoscontinental","https://maps.google.com/?cid=lagos-continental","2025-06-27"
"Hard Rock Cafe Lagos","Restaurant","Landmark Village Water Corporation Road Oniru Victoria Island Lagos","Victoria Island","+234 908 198 8888","Not Available","https://cafe.hardrock.com/lagos","https://facebook.com/HardRockCafeLagos","https://maps.google.com/?cid=hard-rock-cafe-lagos","2025-06-27"
"Presken Hotels @ Victoria Island","Hotel","Victoria Island Lagos Nigeria","Victoria Island","+234 803 5685 980","Not Available","https://preskenhotels.com","Not Available","https://maps.google.com/?cid=presken-vi","2025-06-27"
"Lagos Oriental Hotel","Hotel","3 Lekki Road Victoria Island Lagos Nigeria","Victoria Island","+234 1 280","Not Available","http://www.lagosoriental.com","Not Available","https://maps.google.com/?cid=lagos-oriental","2025-06-27"
"The Grandeur Lagos","Hotel","Block 120 Plot 2 Bosun Adekoya Street Victoria Island Lagos","Victoria Island","+234 909 022 1795","Possible (+234 909 022 1795)","Not Available","https://facebook.com/TheGrandeurLagos","https://maps.google.com/?cid=grandeur-lagos","2025-06-27"
"Hotel Bon Voyage Lagos","Hotel","57a AJ Marinho Drive Victoria Island Lagos Nigeria","Victoria Island","Not Available","Not Available","Not Available","Not Available","https://maps.google.com/?cid=bon-voyage-lagos","2025-06-27"
"Dental Plus Clinic","Dental Clinic","Plot 255 Muri Okunola Street Victoria Island Lagos","Victoria Island","+234 1 454 4207; 0802 551 4175","Yes (08025514175)","https://dentalplusng.com","Not Available","https://maps.google.com/?cid=dental-plus-vi","2025-06-27"
"Mouth Spa Dental Clinic","Dental Clinic","Victoria Island Lagos Nigeria","Victoria Island","+234 809 456 0813; +234 907 142 2040","Not Available","https://mouthspa.com.ng","Not Available","https://maps.google.com/?cid=mouth-spa-vi","2025-06-27"
"Beaconhill Smile Clinic","Dental Clinic","First Floor Union Bank Building 97 Ahmadu Bello Way Victoria Island Lagos","Victoria Island","Not Available","Not Available","https://beaconhillsmile.com","Not Available","https://maps.google.com/?cid=beaconhill-vi","2025-06-27"
"Odontoville Dental Clinics","Dental Clinic","21 Babatunde Jose Street Victoria Island Lagos Nigeria","Victoria Island","0808 505 8218; 0809 125 0170","Not Available","https://www.odontovilledentalclinics.com","Not Available","https://maps.google.com/?cid=odontoville-vi","2025-06-27"
"Family Dental Care","Dental Clinic","1619 Danmole Street Victoria Island Lagos","Victoria Island","Not Available","Not Available","Not Available","Not Available","https://maps.google.com/?cid=family-dental-vi","2025-06-27"
"Citibank Nigeria Limited","Bank","Charles S. Sankey House 27 Kofo Abayomi Street Victoria Island Lagos","Victoria Island","+234 1 279 8642","Not Available","https://www.citigroup.com","Not Available","https://maps.google.com/?cid=citibank-vi","2025-06-27"
"Zenith Bank (Victoria Island Branch)","Bank","300 Adeola Odeku Street Victoria Island Lagos State","Victoria Island","+234 1 461 8677","Not Available","https://www.zenithbank.com","Not Available","https://maps.google.com/?cid=zenith-vi","2025-06-27"
"Access Bank (Victoria Island Branch)","Bank","Plot 99c Danmole Street Off Adeola Odeku/Idejo Street Victoria Island Lagos","Victoria Island","+234 1 461 9264","Not Available","https://www.accessbankplc.com","Not Available","https://maps.google.com/?cid=access-bank-vi","2025-06-27"
"Associated Attorneys","Law Firm","1st Floor OMP Building 33 Kofo Abayomi Street Victoria Island Lagos State Nigeria","Victoria Island","+234 803 787 0631; +234 808 200 0111","Not Available","https://associated-attorneys.com","Not Available","https://maps.google.com/?cid=associated-attorneys-vi","2025-06-27"
"Accenture Nigeria","Consulting Firm","Plot 1712 Idejo Street Off Adeola Odeku Street PMB 80885 Victoria Island Lagos","Victoria Island","+234 1 262 6929","Not Available","https://www.accenture.com/us-en/about/location","Not Available","https://maps.google.com/?cid=accenture-vi","2025-06-27"
"Africa Digital Agency","Marketing Agency","Plot 2 Ajose Adeogun Street Victoria Island Lagos","Victoria Island","+234 806 737 0247","Not Available","https://africadigital.com.ng","https://instagram.com/africadigitalhq","https://maps.google.com/?cid=africa-digital-vi","2025-06-27"
"Layer3","IT & Managed Service Provider","Plot 37 Suite 2A Prince Court Ahmed Onibudu Street Victoria Island Lagos","Victoria Island","+234 1 280 5526; +234 908 529 3740","Not Available","https://www.layer3.ng","Not Available","https://maps.google.com/?cid=layer3-vi","2025-06-27"
"Iwel Property Brokers Limited","Real Estate Agency","Suite 203 17 Ahmed Onibudo Street Victoria Island Lagos","Victoria Island","Not Available","Not Available","Not Available","Not Available","https://maps.google.com/?cid=iwel-property-vi","2025-06-27"
"Bolutokun Estate Agency","Real Estate Agency","1st Floor Plot 1038A Ologun Agbaje Street Victoria Island Lagos","Victoria Island","+234 806 716 8266; +234 805 587 3455","Possible (+234 806 716 8266)","https://bolutokun.com","Not Available","https://maps.google.com/?cid=bolutokun-vi","2025-06-27"
"Alpha Mead Facilities & Management Services","Real Estate Agency","9d Joseph Adu Street Oniru Estate Victoria Island Lagos","Victoria Island","+234 1 271 9473","Not Available","Not Available","Not Available","https://maps.google.com/?cid=alpha-mead-vi","2025-06-27"
"WSI Axon","Marketing Agency","9A Oko Awo Street Victoria Island Lagos Nigeria","Victoria Island","+234 903 898 3631","Not Available","https://www.wsiaxon.com","Not Available","https://maps.google.com/?cid=wsi-axon-vi","2025-06-27"
"Ramos Real Estate","Real Estate Agency","Victoria Island Lagos Nigeria","Victoria Island","+234 813 335 5522","Possible (+234 813 335 5522)","https://ramosrealestateng.com","Not Available","https://maps.google.com/?cid=ramos-realestate-vi","2025-06-27"
"Orbit Financial Services Limited","Financial Services","Plot 1062 Abagbon Close Victoria Island Lagos","Victoria Island","0704 000 0014","Not Available","https://orbitfinancial.ng","Not Available","https://maps.google.com/?cid=orbit-financial-vi","2025-06-27"
"Optimus Bank","Bank","No. 55 Bishop Oluwole Street Victoria Island Lagos","Victoria Island","Not Available","Not Available","Not Available","Not Available","https://maps.google.com/?cid=optimus-bank-vi","2025-06-27"
"Divine Dental Home","Dental Clinic","Victoria Island Lagos Nigeria","Victoria Island","Not Available","Not Available","https://divinedentalhome.com.ng","Not Available","https://maps.google.com/?cid=divine-dental-vi","2025-06-27"
