Business Name,Business Niche,Address,City Area,Phone Number,WhatsApp Contact,Website,Social Media Links,Google Maps Listing URL,Date Collected,Email Address,WhatsApp,Additional Phone Numbers,Website (Verified),Social Profiles,Email Validation Status,Date Enriched,Source URLs
The Junction Restaurant,Restaurant,Lekki Lagos,Lekki,+234 8090652927,Not Available,http://thejunctionrestaurants.com,Not Available,https://maps.google.com/?q=The+Junction+Restaurant+Lekki+Lagos,2025-06-15,info@thejunctionrestaurants.com,Not Available,Not Available,http://thejunctionrestaurants.com,Not Available,valid_mx,2025-06-15,http://thejunctionrestaurants.com
The Place Restaurants,Restaurant / Bar & Lounge,Lagos (multiple locations including Lekki),Lekki,+234 8182862824,Not Available,https://theplace.com.ng,Not Available,https://maps.google.com/?q=Theplace+Restaurant+Lekki+Lagos,2025-06-15,customerservice@theplace.com.ng,Not Available,+234 8183742775,https://theplace.com.ng,Not Available,valid_mx,2025-06-15,https://theplace.com.ng
Vintano Hotel,Hotel / Luxury Hotel,No 5 Kayode Animashaun Street Eti-Osa Lekki Phase 1 Lagos,Lekki,+234 8023579600,Not Available,Not Available,https://www.instagram.com/vintanohotel,https://maps.google.com/?q=Vintano+Hotel+Lekki+Phase+1,2025-06-15,Reservations@VintanoHotel.com,Not Available,Not Available,Not Available,https://www.instagram.com/vintanohotel,valid_mx,2025-06-15,https://www.instagram.com/reel/DD5MprBOk9q
The Corniche Hotel,Hotel,2 Olaitan Sebanjo Street Lekki Phase 1 Lagos,Lekki,+234 9034600000,+234 9034600000,Not Available,https://www.instagram.com/thecornichehotel,https://maps.google.com/?q=Corniche+Hotel+Lekki+Phase+1,2025-06-15,Not Available,+234 9034600000,Not Available,Not Available,https://www.instagram.com/thecornichehotel,N/A,2025-06-15,https://www.instagram.com/reel/DP1DtKCiDNj
i-Fitness Gym & Wellness Centres (Lekki Phase 1),Gym & Fitness Center,10 Gabby Adeosun Street off Admiralty Way Lekki Phase 1,Lekki,Not Available,Not Available,https://ifitness.ng,Not Available,https://maps.google.com/?q=iFitness+Lekki+Phase+1,2025-06-15,INFO@IFITNESS.NG,Not Available,Not Available,https://ifitness.ng,Not Available,valid_mx,2025-06-15,https://ifitness.ng/ifitness-locations/lekki-phase-1
Kayzplace Barbershop,Barbershop / Salon,25a Admiralty Way Lekki Lagos 101233,Lekki,+234 9090002749,Not Available,https://kayzplaceworldwide.com,Not Available,https://maps.google.com/?q=Kayzplace+Barbershop+Lekki,2025-06-15,Kayzplacebarbershop@gmail.com,Not Available,+234 8097000012,https://kayzplaceworldwide.com,Not Available,valid_mx,2025-06-15,https://kayzplaceworldwide.com
Caredent Dental Clinic,Dental Clinic,The Quad 20 Layi Yusuf Crescent off Admiralty Way Lekki Phase 1 Lagos,Lekki,+234 7025007914,Not Available,https://www.caredentclinic.com,Not Available,https://maps.google.com/?q=Caredent+Dental+Clinic+Lekki,2025-06-15,info@caredentclinic.com,Not Available,Not Available,https://www.caredentclinic.com,Not Available,valid_mx,2025-06-15,https://www.caredentclinic.com
New Hall International School,School,12 Adegbenle Street Chevy View Estate Off Chevron Drive Lekki Lagos,Lekki,+234 7067847977,Not Available,https://newhallschool.com.ng,Not Available,https://maps.google.com/?q=New+Hall+International+School+Lekki,2025-06-15,info@newhallschool.com.ng; admissions@newhallschool.com.ng,Not Available,Not Available,https://newhallschool.com.ng,Not Available,valid_mx,2025-06-15,https://newhallschool.com.ng/contact-us
Chrisland High School Lekki,School,Plot 105A Hakeem Dickson Way Lekki Phase 1 Lekki Lagos,Lekki,+234 8102836774,Not Available,https://www.chrislandschools.com,Not Available,https://maps.google.com/?q=Chrisland+High+School+Lekki,2025-06-15,Not Available,Not Available,+234 8142664266,https://www.chrislandschools.com,Not Available,N/A,2025-06-15,https://www.chrislandschools.com/contact.html
Children's International School Lagos,School,Plot 8 Amore Street Lekki Phase 1 Lagos,Lekki,+234 9062977064,Not Available,https://www.cislagos.com,Not Available,https://maps.google.com/?q=Childrens+International+School+Lekki,2025-06-15,info@cislagos.com,Not Available,+234 9062684338,https://www.cislagos.com,Not Available,valid_mx,2025-06-15,https://www.cislagos.com
