Name/Business Name,Skill/Industry,Email,Phone/WhatsApp,Website/Portfolio,Location,Source URL,Source Type,Email Validation Status,Date Collected
"CrownCrystal Tech Ltd","IT Hardware & Software Solutions","support@crowncrystaltech.com","+234 915 910 0000","https://cctech.ng","23 Oshifila Street Anifowoshe Ikeja Lagos","https://www.crunchbase.com/organization/crown-crystal-technologies","Professional Directory","Pending Validation","2025-06-23"
"FEMISH IT Solutions & Systems Ltd","IT Solutions & Systems","info@femish.com.ng;mishael@femish.com.ng","+234 812 811 4584","https://www.femish.com.ng","1 Majekodunmi Street Off Allen Avenue Ikeja Lagos","https://www.femish.com.ng/contact","Business Website","Pending Validation","2025-06-23"
"Digitalwe Limited","Digital Agency / Web Development","plusinnovationhub@gmail.com","+234 806 438 2453","https://digitalwe.biz","76b Adeniyi Jones Avenue Ikeja Lagos","https://m.facebook.com/DigitalWeltd/about","Business Website / Social Media","Pending Validation","2025-06-23"
"Powersoft Integrated Solutions","IT Company","Not Available","Not Available","Not Available","121 Ogba Road end of Oba Akran Avenue near Guinness HQ Ikeja Lagos","https://www.businesslist.com.ng/category/information-technology/city:ikeja","Professional Directory","N/A","2025-06-23"
"Stubnet Technology Solutions","IT Company","Not Available","Not Available","Not Available","115 Allen Avenue Ikeja Lagos","https://ngex.com/bd/search.php?q=software%20company&place=ikeja","Business Directory","N/A","2025-06-23"
"Awoof Cars Sales Services International","Automotive / Car Sales","Not Available","Not Available","Not Available","35 Abisogun Leigh Ogba Ikeja Lagos","https://www.businesslist.com.ng/category/automotive/city:ikeja","Professional Directory","N/A","2025-06-23"
"B. A. Rufai and Company (Barchambers)","Real Estate","Not Available","Not Available","Not Available","31 Afolabi Aina Street Allen Ikeja Lagos","https://ikeja.infoisinfo.ng/search/real-estate","Business Directory","N/A","2025-06-23"
"CarMax Autocare Centre","Auto Repair","Not Available","Not Available","Not Available","Plot A2 Billings Way Inside 10 Degrees Event Center Oregun-Ikeja","https://directory.org.ng/lg-car_repair_services?lga=lagos_ikeja","Business Directory","N/A","2025-06-23"
"Kids Kastle Inter-American School","Education / School","Not Available","+234 1 895 0843;+234 1 306 3564","Not Available","19 Budland Street Akiode Ikeja Lagos","https://ngex.com/bd/areas/Nigeria/Lagos/Ikeja/c/Education/Secondary%20Schools","Business Directory","N/A","2025-06-23"
"D-One Health Care","Healthcare","Not Available","Not Available","Not Available","60 Allen Avenue Ikeja Lagos","https://ngex.com/bd/search?q=health%20care%20services&place=ikeja","Business Directory","N/A","2025-06-23"
"Olympus Law Partnership","Law Firm","Not Available","+234 817 037 5419","https://www.olympuslp.com","House 7B 2A Shitta Aderibigbe Street Maryland Ikeja Lagos","https://www.globallawdirectories.com/searchdirectory/view-lawfirm-profile/8925","Professional Directory","N/A","2025-06-23"
"Alpha Pharmacy & Stores (Head Office)","Pharmacy","Not Available","+234 700 25742742762;+234 1 295 1804","https://alphapharmacy.com.ng","2B Alabi Street Off Toyin Street Ikeja","https://www.facebook.com/alphapharmacyltd","Social Media","N/A","2025-06-23"
