business_name,business_niche,address,city_area,phone_number,whatsapp,website,social_media_links,google_maps_url,email,email_validation_status,date_collected
Willoughby & Co,Restaurant / Seafood,"Breakwater Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 419 7540,+27 21 419 7540,https://www.willoughbyandco.co.za,https://www.instagram.com/willoughbyco_cpt/,Not Available,info@willoughbyandco.co.za,valid_mx,2025-07-08
Baia Restaurant,Restaurant / Seafood,"Breakwater Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 421 1938,+27 21 421 1938,https://www.baiarestaurant.co.za,https://www.instagram.com/baiarestaurant/,Not Available,info@baiarestaurant.co.za,valid_mx,2025-07-08
Sevruga Restaurant,Restaurant / Seafood,"Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 421 3265,+27 21 421 3265,https://www.sevruga.co.za,https://www.instagram.com/sevruga_waterfront/,Not Available,info@sevruga.co.za,valid_mx,2025-07-08
The Waterside Restaurant,Restaurant / Fine Dining,"V&A Waterfront Hotel, Dock Rd",VA-Waterfront,+27 21 418 0134,+27 21 418 0134,https://www.victoriaandalbert.co.za/dining/the-waterside/,Not Available,Not Available,Pattern Generated,2025-07-08
Gold Restaurant,Restaurant / African Cuisine,"13 Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 421 4600,+27 21 421 4600,https://www.goldrestaurant.co.za,https://www.instagram.com/goldrestaurant/,Not Available,info@goldrestaurant.co.za,valid_mx,2025-07-08
Nobu Cape Town,Restaurant / Japanese,"The Silo Hotel, V&A Waterfront",VA-Waterfront,+27 21 671 6100,+27 21 671 6100,https://www.noburestaurants.com/cape-town,https://www.instagram.com/nobucapetown/,Not Available,Not Available,Pattern Generated,2025-07-08
La Colombe Restaurant,Restaurant / Fine Dining,"Silvermist Wine Estate, Constantia",VA-Waterfront,+27 21 794 8188,+27 21 794 8188,https://www.lacolombe.com,https://www.instagram.com/lacolomberestaurant/,Not Available,Not Available,Pattern Generated,2025-07-08
The Table Bay Hotel,Hotel / Luxury,"Quay 6, V&A Waterfront",VA-Waterfront,+27 21 406 5000,+27 21 406 5000,https://www.suninternational.com/the-table-bay-hotel,https://www.instagram.com/thetablebayhotel/,Not Available,tablebay@suninternational.com,valid_mx,2025-07-08
The Silo Hotel,Hotel / Luxury,"B8 Silo Square, V&A Waterfront",VA-Waterfront,+27 21 671 6100,+27 21 671 6100,https://www.theroyalportfolio.com/the-silo-hotel,https://www.instagram.com/thesilohotel/,Not Available,reservations@theroyalportfolio.com,valid_mx,2025-07-08
Cape Grace Hotel,Hotel / Luxury,Waterfront Breakwater Rd,VA-Waterfront,+27 21 410 7100,+27 21 410 7100,https://www.capegrace.com,https://www.instagram.com/capegracehotel/,Not Available,info@capegrace.com,valid_mx,2025-07-08
V&A Waterfront Hotel,Hotel / Luxury,"Dock Rd, V&A Waterfront",VA-Waterfront,+27 21 418 0134,+27 21 418 0134,https://www.victoriaandalbert.co.za,https://www.instagram.com/vawaterfront/,Not Available,Not Available,Pattern Generated,2025-07-08
Portswood Hotel,Hotel / Boutique,"Portswood Rd, V&A Waterfront",VA-Waterfront,+27 21 419 9000,+27 21 419 9000,https://www.tsogosunhotels.com/portswood-hotel,Not Available,Not Available,Pattern Generated,2025-07-08
