business_name,niche,address,phone,whatsapp,website,email,social_profiles,email_validation_status,date_enriched,source_urls
Prunes Restaurant,Restaurant,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 343610,Yes (+256 414 343610),https://www.prunes.co.ug,info@prunes.co.ug,,Found on website,2025-06-15,https://www.prunes.co.ug
La Fontana Restaurant,Restaurant,"Ternan Avenue, Kololo, Kampala, Uganda",+256 414 344221,Yes (+256 414 344221),https://www.lafontana.co.ug,info@lafontana.co.ug,,Pattern Generated,2025-06-15,https://www.lafontana.co.ug
Fang Fang Restaurant,Restaurant,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 259803,Yes (+256 414 259803),https://www.fangfang.co.ug,info@fangfang.co.ug,,Pattern Generated,2025-06-15,https://www.fangfang.co.ug
Haandi Restaurant,Restaurant,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 259597,Yes (+256 414 259597),https://www.haandi.co.ug,info@haandi.co.ug,,Found on website,2025-06-15,https://www.haandi.co.ug
Khana Khazana,Restaurant,"Prince Charles Drive, Kololo, Kampala, Uganda",+256 414 343030,Yes (+256 414 343030),https://www.khanakhazana.co.ug,info@khanakhazana.co.ug,,Pattern Generated,2025-06-15,https://www.khanakhazana.co.ug
Green Room Kololo,Restaurant & Bar,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 346390,Yes (+256 414 346390),https://www.greenroom.co.ug,info@greenroom.co.ug,,Pattern Generated,2025-06-15,https://www.greenroom.co.ug
Mango House Restaurant,Restaurant,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 346432,Yes (+256 414 346432),https://www.mangohouse.co.ug,info@mangohouse.co.ug,,Pattern Generated,2025-06-15,https://www.mangohouse.co.ug
Bubbles O'Leary's,Restaurant & Bar,"Kololo Hill Road, Kololo, Kampala, Uganda",+256 414 346640,Yes (+256 414 346640),https://www.bubblesolearys.com,info@bubblesolearys.com,,Pattern Generated,2025-06-15,https://www.bubblesolearys.com
Serena Hotel Kampala,Hotel,"Kintu Road, Kampala, Uganda",+256 414 306000,Yes (+256 414 306000),https://www.serenahotels.com/kampala,kampala@serenahotels.com,,Found on website,2025-06-15,https://www.serenahotels.com/kampala
Emin Pasha Hotel,Hotel,"27 Akii Bua Road, Kololo, Kampala, Uganda",+256 414 344344,Yes (+256 414 344344),https://www.eminpasha.com,reservations@eminpasha.com,,Found on website,2025-06-15,https://www.eminpasha.com
Protea Hotel Kampala,Hotel,"4 Kimathi Avenue, Kololo, Kampala, Uganda",+256 414 259600,Yes (+256 414 259600),https://www.proteahotels.com/kampala,protea.kampala@protea.com,,Found on website,2025-06-15,https://www.proteahotels.com/kampala
